employeeID,courseId,partner,course,expected_skills,rating,level,certificateType,duration,designation,userSkills,points,department
EMP6756428717364628,Introduction to Spreadsheets and Models,University of Pennsylvania,Introduction to Spreadsheets and Models,"{"" Data Analysis"","" Forecasting"","" General Statistics"","" Microsoft Excel"","" Spreadsheet Software"","" Statistical Analysis"","" Basic Descriptive Statistics"","" Business Analysis"","" Statistical Tests"","" Correlation And Dependence"","" Computer Programming""}",4.2,Mixed,Course,1 - 4 Weeks,Data Scientist,"['Statistics', 'Data Visualization', 'Machine Learning', 'Python Programming']",105,Data Science
EMP4616826467953838,Introduction to Spreadsheets and Models,University of Pennsylvania,Introduction to Spreadsheets and Models,"{"" Data Analysis"","" Forecasting"","" General Statistics"","" Microsoft Excel"","" Spreadsheet Software"","" Statistical Analysis"","" Basic Descriptive Statistics"","" Business Analysis"","" Statistical Tests"","" Correlation And Dependence"","" Computer Programming""}",4.2,Mixed,Course,1 - 4 Weeks,Data Scientist,"['Statistics', 'Machine Learning']",179,Data Science
EMP9121903833097942,HTML CSS and Javascript for Web Developers,Johns Hopkins University,HTML CSS and Javascript for Web Developers,"{"" Front-End Web Development"","" HTML and CSS"","" Javascript"","" Web Development""}",4.7,Mixed,Course,1 - 3 Months,Senior Full Stack Developer,"['HTML', 'JavaScript', 'DevOps', 'Python Programming', 'React']",109,Full Stack Development
EMP3199836409918165,HTML CSS and Javascript for Web Developers,Johns Hopkins University,HTML CSS and Javascript for Web Developers,"{"" Front-End Web Development"","" HTML and CSS"","" Javascript"","" Web Development""}",4.7,Mixed,Course,1 - 3 Months,Frontend Developer,"['HTML', 'React', 'JavaScript']",238,Full Stack Development
EMP4987517914782984,The Manager's Toolkit: A Practical Guide to Managing People at Work,University of London,The Manager's Toolkit: A Practical Guide to Managing People at Work,"{"" Human Resources"","" Leadership and Management"","" People Management"","" Conflict Management"","" Decision Making"","" Human Resources Operations"","" People Analysis"","" Performance Management"","" Recruitment"","" Business Analysis"","" Employee Relations"","" Leadership Development"","" Organizational Development"","" People Development""}",4.7,Mixed,Course,1 - 3 Months,Business Analyst,"['Data Analysis', 'SQL', 'Communication', 'Business Analysis']",276,Core Consulting
EMP4987517914782984,Human Resources Analytics,"University of California, Irvine",Human Resources Analytics,"{"" Human Resources"","" People Analysis"","" Business Analysis"","" Employee Relations"","" Human Resources Operations"","" Leadership and Management"","" People Development"","" Communication"","" Data Visualization"","" Influencing"","" Storytelling"","" Data Analysis""}",4.6,Mixed,Course,1 - 4 Weeks,Business Analyst,"['Data Analysis', 'SQL', 'Communication', 'Business Analysis']",276,Core Consulting
EMP4987517914782984,Food & Beverage Management,Università Bocconi,Food & Beverage Management,"{"" Design and Product"","" Marketing"","" Business Analysis"","" Customer Analysis"","" Product Marketing"","" Product Strategy"","" Brand Management"","" Leadership and Management"","" Market Analysis"","" Sales"","" Strategy"","" Strategy and Operations""}",4.8,Mixed,Course,1 - 3 Months,Business Analyst,"['Data Analysis', 'SQL', 'Communication', 'Business Analysis']",276,Core Consulting
EMP4987517914782984,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,Become a CBRS Certified Professional Installer by Google,"{"" Communication"","" SAS (Software)"","" Regulations and Compliance"","" Systems Design"","" System Security"","" Network Architecture"","" Process Analysis"","" Training"","" Decision Making"","" Operating Systems"","" Leadership and Management""}",4.6,Mixed,Course,1 - 3 Months,Business Analyst,"['Data Analysis', 'SQL', 'Communication', 'Business Analysis']",276,Core Consulting
EMP4987517914782984,Management of Fashion and Luxury Companies,Università Bocconi,Management of Fashion and Luxury Companies,"{"" Brand Management"","" Leadership and Management"","" Marketing"","" Retail Sales"","" Strategy"","" Business Analysis"","" Communication"","" Customer Analysis"","" Media Strategy & Planning"","" Product Design"","" Product Development""}",4.7,Mixed,Course,1 - 3 Months,Business Analyst,"['Data Analysis', 'SQL', 'Communication', 'Business Analysis']",276,Core Consulting
EMP1304324396915286,The Manager's Toolkit: A Practical Guide to Managing People at Work,University of London,The Manager's Toolkit: A Practical Guide to Managing People at Work,"{"" Human Resources"","" Leadership and Management"","" People Management"","" Conflict Management"","" Decision Making"","" Human Resources Operations"","" People Analysis"","" Performance Management"","" Recruitment"","" Business Analysis"","" Employee Relations"","" Leadership Development"","" Organizational Development"","" People Development""}",4.7,Mixed,Course,1 - 3 Months,Junior Business Analyst,"['Business Analysis', 'Data Analysis']",153,Core Consulting
EMP1304324396915286,Human Resources Analytics,"University of California, Irvine",Human Resources Analytics,"{"" Human Resources"","" People Analysis"","" Business Analysis"","" Employee Relations"","" Human Resources Operations"","" Leadership and Management"","" People Development"","" Communication"","" Data Visualization"","" Influencing"","" Storytelling"","" Data Analysis""}",4.6,Mixed,Course,1 - 4 Weeks,Junior Business Analyst,"['Business Analysis', 'Data Analysis']",153,Core Consulting
EMP1304324396915286,Food & Beverage Management,Università Bocconi,Food & Beverage Management,"{"" Design and Product"","" Marketing"","" Business Analysis"","" Customer Analysis"","" Product Marketing"","" Product Strategy"","" Brand Management"","" Leadership and Management"","" Market Analysis"","" Sales"","" Strategy"","" Strategy and Operations""}",4.8,Mixed,Course,1 - 3 Months,Junior Business Analyst,"['Business Analysis', 'Data Analysis']",153,Core Consulting
EMP1304324396915286,Management of Fashion and Luxury Companies,Università Bocconi,Management of Fashion and Luxury Companies,"{"" Brand Management"","" Leadership and Management"","" Marketing"","" Retail Sales"","" Strategy"","" Business Analysis"","" Communication"","" Customer Analysis"","" Media Strategy & Planning"","" Product Design"","" Product Development""}",4.7,Mixed,Course,1 - 3 Months,Junior Business Analyst,"['Business Analysis', 'Data Analysis']",153,Core Consulting
EMP1304324396915286,Introduction to Spreadsheets and Models,University of Pennsylvania,Introduction to Spreadsheets and Models,"{"" Data Analysis"","" Forecasting"","" General Statistics"","" Microsoft Excel"","" Spreadsheet Software"","" Statistical Analysis"","" Basic Descriptive Statistics"","" Business Analysis"","" Statistical Tests"","" Correlation And Dependence"","" Computer Programming""}",4.2,Mixed,Course,1 - 4 Weeks,Junior Business Analyst,"['Business Analysis', 'Data Analysis']",153,Core Consulting
EMP7140496260252510,HTML CSS and Javascript for Web Developers,Johns Hopkins University,HTML CSS and Javascript for Web Developers,"{"" Front-End Web Development"","" HTML and CSS"","" Javascript"","" Web Development""}",4.7,Mixed,Course,1 - 3 Months,Senior Full Stack Developer,"['JavaScript', 'Node.js', 'CSS']",151,Full Stack Development
EMP7294614527264118,Human Resources Analytics,"University of California, Irvine",Human Resources Analytics,"{"" Human Resources"","" People Analysis"","" Business Analysis"","" Employee Relations"","" Human Resources Operations"","" Leadership and Management"","" People Development"","" Communication"","" Data Visualization"","" Influencing"","" Storytelling"","" Data Analysis""}",4.6,Mixed,Course,1 - 4 Weeks,Business Analyst,"['Communication', 'Data Analysis']",216,Core Consulting
EMP7294614527264118,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,Become a CBRS Certified Professional Installer by Google,"{"" Communication"","" SAS (Software)"","" Regulations and Compliance"","" Systems Design"","" System Security"","" Network Architecture"","" Process Analysis"","" Training"","" Decision Making"","" Operating Systems"","" Leadership and Management""}",4.6,Mixed,Course,1 - 3 Months,Business Analyst,"['Communication', 'Data Analysis']",216,Core Consulting
EMP7294614527264118,Management of Fashion and Luxury Companies,Università Bocconi,Management of Fashion and Luxury Companies,"{"" Brand Management"","" Leadership and Management"","" Marketing"","" Retail Sales"","" Strategy"","" Business Analysis"","" Communication"","" Customer Analysis"","" Media Strategy & Planning"","" Product Design"","" Product Development""}",4.7,Mixed,Course,1 - 3 Months,Business Analyst,"['Communication', 'Data Analysis']",216,Core Consulting
EMP7294614527264118,Principles of Management,Johns Hopkins University,Principles of Management,"{"" Leadership and Management"","" Planning"","" Strategy"","" Critical Thinking"","" Operations Management"","" People Management"","" Strategy and Operations"","" Business Communication"","" Business Intelligence"","" Organizational Development"","" Project Management""}",4.7,Mixed,Course,1 - 4 Weeks,Business Analyst,"['Communication', 'Data Analysis']",216,Core Consulting
